@relation bank_clustered

@attribute Instance_number numeric
@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES,cluster1
1,40,MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO,cluster3
2,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO,cluster2
3,23,FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO,cluster5
4,57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO,cluster5
5,57,FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES,cluster5
6,22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES,cluster0
7,58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO,cluster2
8,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO,cluster5
9,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO,cluster2
10,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO,cluster5
11,52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO,cluster4
12,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES,cluster1
13,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES,cluster1
14,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO,cluster5
15,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO,cluster2
16,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO,cluster5
17,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO,cluster5
18,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES,cluster4
19,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO,cluster2
20,61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES,cluster2
21,50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO,cluster5
22,54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO,cluster2
23,27,FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO,cluster5
24,22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO,cluster2
25,56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO,cluster2
26,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO,cluster2
27,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES,cluster1
28,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO,cluster0
29,61,MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES,cluster3
30,61,FEMALE,RURAL,22942.9,YES,2,NO,YES,YES,NO,NO,cluster5
31,20,FEMALE,TOWN,16325.8,YES,2,NO,YES,NO,NO,NO,cluster5
32,45,MALE,SUBURBAN,23443.2,YES,1,YES,YES,YES,NO,YES,cluster2
33,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO,cluster0
34,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES,cluster4
35,27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO,NO,cluster5
36,19,MALE,RURAL,10953,YES,3,YES,YES,YES,NO,NO,cluster2
37,36,FEMALE,RURAL,13381,NO,0,YES,NO,YES,NO,YES,cluster4
38,43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO,cluster5
39,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO,YES,NO,NO,cluster0
40,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,YES,cluster3
41,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,NO,cluster2
42,67,MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,YES,cluster4
43,32,FEMALE,TOWN,27571.5,YES,0,YES,NO,YES,YES,NO,cluster3
44,20,MALE,INNER_CITY,13740,NO,2,YES,YES,YES,YES,NO,cluster2
45,64,MALE,INNER_CITY,52670.6,YES,2,NO,YES,YES,YES,YES,cluster1
46,50,FEMALE,INNER_CITY,13283.9,NO,1,YES,YES,YES,NO,YES,cluster4
47,29,MALE,INNER_CITY,13106.6,NO,2,NO,YES,YES,YES,YES,cluster1
48,52,MALE,INNER_CITY,39547.8,NO,2,YES,NO,YES,NO,YES,cluster4
49,47,FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO,NO,cluster5
50,24,MALE,TOWN,14309.7,NO,2,YES,YES,NO,NO,NO,cluster2
51,36,MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO,NO,cluster5
52,43,MALE,TOWN,16259.7,YES,1,NO,YES,YES,NO,YES,cluster5
53,48,MALE,SUBURBAN,29794.1,NO,1,NO,YES,YES,NO,YES,cluster4
54,63,MALE,TOWN,56842.5,YES,0,NO,YES,YES,YES,NO,cluster5
55,52,FEMALE,RURAL,47835.8,NO,3,NO,YES,NO,NO,YES,cluster0
56,58,FEMALE,INNER_CITY,24977.5,NO,0,NO,NO,YES,NO,YES,cluster4
57,28,MALE,INNER_CITY,23124.9,YES,0,NO,YES,YES,NO,YES,cluster2
