% Fluorescence version 1.0
% plate 1536 = 32x48 (15 times)
% @meta
% Plate=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Repeat=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Barcode=AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01
% Measured height=10.05,10.19,10.11,10.11,10.16,10.13,10.13,10.16,10.11,10.16,10.16,10.19,10.13,10.13,10.16
% Chamber temperature at start=26.49,26.29,26.39,26.29,26.39,26.39,25.97,25.5,25.09,25.58,26.46,26.46,26.26,26.09,26.07
% Chamber temperature at end=26.12,26.29,26.51,26.39,26.42,26.09,26.02,25.21,25.31,25.41,26.29,26.39,26.29,26,26
% Humidity at start=28.6,27.2,27.2,27,27,23.7,24.5,26.9,26.7,26.2,25.8,26.4,27.5,27.4,27.2
% Humidity at end=28.6,27.8,27.7,27.5,27.7,24,25,27.5,27.4,26.7,26.4,27,28.1,28,27.8
% Ambient temperature at start=26.69,26.69,26.79,26.69,26.79,26.59,26.46,25.61,25.58,25.78,26.66,26.76,26.66,26.49,26.37
% Ambient temperature at end=26.81,26.59,26.62,26.59,26.71,26.49,26.22,25.61,25.51,26,26.59,26.59,26.49,26.39,26.2
% Group=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Label=FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1)
% ScanX=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% ScanY=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Measinfo=De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A
% Kinetics=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Measurement date=11/20/2012 2:12:58 AM,11/20/2012 3:17:04 AM,11/20/2012 4:21:15 AM,11/20/2012 5:25:27 AM,11/20/2012 6:29:44 AM,11/20/2012 8:53:17 AM,11/20/2012 10:59:44 AM,11/20/2012 1:03:59 PM,11/20/2012 3:08:16 PM,11/20/2012 5:12:32 PM,11/20/2012 7:16:45 PM,11/20/2012 9:20:59 PM,11/20/2012 11:25:13 PM,11/21/2012 1:29:27 AM,11/21/2012 3:33:41 AM
@relation CP-001073
@attribute 0 integer % 2012-11-20T02:10:18+00:00
@attribute 3846 integer % 2012-11-20T03:14:24+00:00
@attribute 7697 integer % 2012-11-20T04:18:35+00:00
@attribute 11549 integer % 2012-11-20T05:22:47+00:00
@attribute 15407 integer % 2012-11-20T06:27:05+00:00
@attribute 24019 integer % 2012-11-20T08:50:37+00:00
@attribute 31606 integer % 2012-11-20T10:57:04+00:00
@attribute 39061 integer % 2012-11-20T13:01:19+00:00
@attribute 46518 integer % 2012-11-20T15:05:36+00:00
@attribute 53974 integer % 2012-11-20T17:09:52+00:00
@attribute 61427 integer % 2012-11-20T19:14:05+00:00
@attribute 68881 integer % 2012-11-20T21:18:19+00:00
@attribute 76335 integer % 2012-11-20T23:22:33+00:00
@attribute 83789 integer % 2012-11-21T01:26:47+00:00
@attribute 91243 integer % 2012-11-21T03:31:01+00:00
@attribute name string
@data
424,2155,3014,2982,3502,2891,3948,3778,4091,4068,3736,3915,4125,4090,4087,A1
527,2308,2871,3384,3505,2802,4020,4344,4016,4540,4736,4171,4759,4562,4922,A2
508,2197,3225,3990,3777,2705,4078,5085,4016,4667,4068,4658,4799,4693,5002,A3
492,1873,2909,3104,3946,2669,4002,4242,4351,4462,4553,4807,4912,4514,5089,A4
607,1826,2885,3459,3090,2192,4336,3708,4501,4273,4342,4060,4559,4327,4262,A5
575,1816,2848,2804,3576,2770,3903,4298,4199,4437,4471,4467,4542,4408,4548,A6
485,2016,3146,3014,3506,2415,4020,4557,3918,4351,4456,4668,4135,4544,5097,A7
678,1496,2569,3638,3912,2899,3681,4294,4198,4231,4627,4376,5092,4689,4916,A8
494,1989,3200,3473,3371,2283,4260,4491,4964,4513,4313,4688,4992,5052,5162,A9
608,1648,2651,3156,3567,2424,4445,4187,4069,4634,4057,4651,4154,4764,4534,A10
451,1979,2771,2745,3880,2814,4107,4400,4314,4670,4534,4537,5029,5170,5190,A11
611,1962,2552,3417,3424,2729,4399,4302,4526,4737,4364,4909,4765,5048,5575,A12
426,2011,2717,3058,3383,2932,4106,4336,4032,4470,4246,5106,4677,4710,4646,A13
443,1943,2523,3087,3283,2946,4050,3893,4156,4889,4827,4176,4633,5080,4694,A14
498,1801,2428,3286,3003,2355,3624,4043,4097,4212,4187,4266,4355,4262,4363,A15
452,2039,2488,3050,2945,2361,3614,3847,3914,4230,4041,4623,4227,4416,4542,A16
481,1646,2640,3179,3079,2467,4168,3867,3905,3803,4230,4127,4353,4002,4365,A17
366,1718,2430,2723,3198,2365,3936,3520,3537,4260,4007,4085,4133,3904,4484,A18
437,1495,2352,3093,3346,2642,3804,3931,3825,3959,4153,4137,4392,3987,4330,A19
418,2136,2368,2794,2777,2121,3723,3748,3956,3955,3962,3902,4106,3762,4656,A20
419,1653,2855,3073,3812,2707,4053,4005,4240,4574,4725,4693,4927,4691,5014,A21
773,2078,2583,3183,3628,3064,3850,4072,4005,4456,4737,4689,4828,4867,4892,A22
503,1931,2611,2643,3884,3095,4097,4278,4532,4410,4686,4733,4785,5204,5100,A23
603,1877,2917,3329,3836,3054,3947,4132,4088,4429,3873,4609,4590,4639,4749,A24
448,1858,2823,3169,3454,3050,4325,4496,4261,4589,4772,5033,4389,5064,4806,A25
613,1738,2849,3083,3344,3249,4186,4261,4653,5039,5254,5024,4767,5243,5164,A26
749,2212,2774,3400,3832,2776,3977,4522,4467,4658,4968,4853,4591,4778,4775,A27
572,2192,3008,3331,3586,3024,4691,3906,3974,4637,4084,5114,5033,5256,4400,A28
537,1919,2850,3190,3447,2726,4138,3916,3700,4316,4121,4032,4547,4618,4429,A29
496,1934,2743,3049,3899,2544,3578,3995,4166,4229,4546,4720,4243,4304,4813,A30
575,1854,2626,2822,3154,2731,4237,4122,3875,4390,4688,4765,4248,4510,4385,A31
529,1966,2396,3692,3679,2935,4080,4003,4131,4420,4222,4412,4552,4179,4443,A32
539,2044,3068,3464,3379,3087,4394,4377,4243,4722,4606,4592,4796,5070,5316,A33
476,2063,2940,3047,3522,2887,4322,4290,4193,4451,4711,4627,4912,4838,4940,A34
604,1957,2651,3774,4146,3185,4356,4251,4712,4716,4587,4589,5248,5114,5341,A35
567,1983,3169,3591,3583,3067,4045,4492,4905,4679,5046,4299,5215,4801,4626,A36
448,2143,2793,3336,3477,2876,3949,4541,4634,4812,4644,4732,4907,5199,5150,A37
395,1752,2680,3129,3651,2861,4392,4424,4788,4696,4542,4345,5102,4906,4948,A38
415,1486,3054,2830,3831,2662,4092,4229,4119,3873,4386,4277,4307,4459,4891,A39
438,2163,2525,3347,3195,2582,3417,3417,3856,4040,4097,4211,4108,4022,4468,A40
504,2262,2871,3360,3370,2611,3986,4205,3672,3940,3890,3672,4576,4188,4451,A41
