	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDL179w	1	5.22036	5.03044	4.89784	5.24175	5.31812	5.78074	4.95583	4.85203	6.26910	6.70808	6.67203	6.19032	6.16752	5.77455	5.46806	5.83188	6.26530
YLR079w	1	5.86363	5.68698	5.87212	5.73010	5.88888	5.87493	5.68358	5.35659	6.29342	7.15929	6.70073	6.38856	6.19441	5.98645	5.99146	5.96358	6.53959
YER111c	1	4.46591	4.74493	5.20949	4.64439	4.36945	4.34381	4.26268	4.47734	4.61512	5.25227	5.14749	4.89784	4.70953	4.30407	3.76120	4.24850	4.41884
YBR200w	1	5.55683	5.69036	5.18178	5.03695	5.07517	5.24175	5.55683	6.05678	5.91350	5.81413	5.72359	5.41165	5.30827	4.91998	5.37528	5.47227	5.75890
YJL194w	1	4.35671	5.50533	4.79579	4.47734	4.74493	5.00395	4.86753	4.68213	5.44242	5.57973	4.92725	5.08760	4.86753	5.01728	4.67283	4.81218	5.37064
YLR274w	1	5.34233	5.56834	5.44242	4.94164	4.99721	5.10595	5.21494	5.60212	6.03069	6.14204	5.86079	5.49306	5.28827	5.08760	5.18739	5.52943	5.78074
YBR202w	1	4.73620	5.60947	5.18739	4.82831	4.74493	4.97673	5.66643	6.19644	6.16961	6.27288	5.91080	5.38450	5.23111	5.17048	5.68698	6.18002	6.01859
YPR019w	1	5.06890	4.96284	5.41165	5.05625	5.11199	5.23111	5.25227	5.74620	5.79301	6.02828	5.69373	4.89035	5.04343	5.00395	5.34233	5.32301	5.77455
YBL023c	1	4.09434	4.90527	5.17048	4.51086	4.20469	4.59512	4.96284	5.47227	5.56068	5.14166	5.08140	4.82028	4.72739	4.27667	4.72739	4.94164	5.09375
YEL032w	1	5.19296	5.54908	5.21494	5.12990	5.03044	4.98361	5.37528	5.82008	5.62040	5.71373	5.33754	5.09987	5.09987	4.96284	4.89784	5.40268	5.44674
YGR044c	1	5.54126	4.66344	4.24850	4.46591	4.75359	5.17048	4.77068	4.44265	5.17615	6.08904	6.09807	5.86647	5.43808	5.31812	4.75359	5.01728	5.65948
YML109w	1	5.23111	5.47227	6.25958	5.84354	5.58725	5.73010	5.65599	5.31321	5.28827	5.75574	5.82600	5.65948	5.57215	5.59471	5.37528	5.07517	5.01728
YJL157c	1	5.45959	5.57215	5.07517	5.10595	5.71373	6.14847	6.06146	6.77992	6.80572	7.49220	7.27031	6.58617	6.28227	6.34564	6.43133	6.60530	7.08506
YKL185w	1	5.94017	5.54518	5.30330	5.54518	5.76832	5.78996	5.50126	5.90263	6.67834	7.52941	7.07327	6.46147	6.29895	5.96101	5.78996	6.24804	6.86589
YHR005c	1	5.01728	5.34711	5.28320	4.59512	4.31749	4.49981	4.96284	5.31321	5.43372	5.80814	5.81114	5.26269	4.92725	4.75359	5.26786	5.12396	5.49306
YNR001c	1	6.51767	5.28827	5.17615	5.48480	5.86647	5.54126	5.72031	5.91350	6.33859	6.73340	6.60394	6.37502	6.29157	6.18002	6.18208	6.16961	6.37502
YKL150w	1	6.23441	5.83481	5.56452	6.06379	6.35611	6.25190	6.21461	6.04973	6.66058	6.94794	6.73815	6.70073	6.52062	6.29157	6.50279	6.80904	6.82111
YLR395c	1	6.86171	6.40523	6.49527	6.23048	6.56948	6.68586	6.81235	6.51619	6.83087	7.37275	7.02820	6.99577	6.85224	6.75926	6.92461	7.31189	7.34536
YOR065w	1	6.49527	5.78383	5.30827	5.75257	5.92426	6.04025	5.67332	5.93225	6.39526	6.86693	6.64118	6.59578	6.43133	6.41182	6.49072	6.96130	6.69208
