	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDL179w	1	-0.75808	-0.90319	-0.98935	-0.73995	-0.67193	-0.12777	-0.95307	-1.01656	0.79730	2.11688	1.98537	0.61591	0.56603	-0.13684	-0.52228	-0.05068	0.78823	
YLR079w	1	-0.48845	-0.70828	-0.47688	-0.65814	-0.45374	-0.47302	-0.71214	-1.02839	0.24048	3.11376	1.28952	0.44874	0.04379	-0.31104	-0.30332	-0.34575	0.82285	
YER111c	1	-0.42218	0.23887	1.84427	-0.02083	-0.61105	-0.65827	-0.79992	-0.39857	-0.09166	2.03314	1.58457	0.68744	0.14443	-0.72910	-1.46097	-0.82353	-0.51662	
YBR200w	1	0.09824	0.55258	-0.89641	-1.19111	-1.11744	-0.76133	0.09824	2.16120	1.46126	1.03148	0.67537	-0.33155	-0.60170	-1.39987	-0.42978	-0.15963	0.81045	
YJL194w	1	-1.29859	1.71422	-0.52745	-1.11926	-0.63505	-0.02532	-0.36605	-0.76059	1.44522	2.05496	-0.22259	0.20782	-0.36605	0.01055	-0.77852	-0.49159	1.15829	
YLR274w	1	-0.40461	0.15884	-0.17072	-1.13816	-1.05311	-0.87238	-0.67039	0.25452	1.79605	2.31698	1.10502	-0.04315	-0.52155	-0.90428	-0.72355	0.05253	0.81798	
YBR202w	1	-1.18187	-0.09527	-0.73766	-1.10670	-1.17503	-0.97002	0.01407	1.39452	1.30568	1.66105	0.56078	-0.47114	-0.68299	-0.75816	0.05507	1.33985	0.84781	
YPR019w	1	-0.74382	-0.93650	0.03896	-0.76790	-0.65952	-0.40662	-0.35845	1.11077	1.29141	2.33913	0.91809	-1.05693	-0.79199	-0.86425	-0.14168	-0.18985	1.21915	
YBL023c	1	-1.38479	-0.03287	0.70618	-0.82600	-1.25861	-0.68179	0.11133	1.82377	2.22033	0.61605	0.43580	-0.23115	-0.42943	-1.16848	-0.42943	0.05726	0.47185	
YEL032w	1	-0.42287	0.87044	-0.35569	-0.60763	-0.87637	-0.99394	0.18180	2.21414	1.18957	1.64307	0.04742	-0.69161	-0.69161	-1.04433	-1.19550	0.28257	0.45054	
YGR044c	1	0.45129	-0.79394	-1.09481	-0.95273	-0.71037	-0.20893	-0.69366	-0.96945	-0.20058	2.00575	2.03918	1.27031	0.24236	0.02507	-0.71037	-0.41787	0.71873	
YML109w	1	-0.91548	-0.33907	2.88207	0.87027	-0.01130	0.45209	0.20344	-0.73465	-0.79116	0.54251	0.80246	0.21474	-0.05651	0.01130	-0.58772	-1.22064	-1.32236	
YJL157c	1	-0.95230	-0.89126	-1.11580	-1.10490	-0.80405	-0.44435	-0.52937	0.45384	0.50398	2.44640	1.66812	0.11593	-0.29828	-0.22198	-0.11080	0.14645	1.13837	
YKL185w	1	-0.42286	-0.71013	-0.83755	-0.71013	-0.56186	-0.54565	-0.73562	-0.45530	0.53856	3.01047	1.43049	0.17948	-0.04293	-0.40433	-0.54565	-0.10548	0.91850	
YHR005c	1	-0.43229	0.35748	0.18347	-1.12836	-1.44962	-1.24883	-0.53938	0.26378	0.61182	2.00396	2.01735	0.12992	-0.60631	-0.90080	0.14331	-0.20473	0.79922	
YNR001c	1	1.10066	-1.36840	-1.47664	-1.14675	-0.56943	-1.07458	-0.81685	-0.48180	0.52850	1.94086	1.41509	0.63675	0.39448	0.10067	0.10582	0.07489	0.63675	
YKL150w	1	-0.55084	-1.30718	-1.67185	-0.91100	-0.25370	-0.51032	-0.59586	-0.93801	0.66922	1.83975	0.95284	0.81328	0.21001	-0.41578	0.15598	1.23197	1.28149	
