	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDL179w	1	185	153	134	189	204	324	142	128	528	819	790	488	477	322	237	341	526
YLR079w	1	352	295	355	308	361	356	294	212	541	1286	813	595	490	398	400	389	692
YER111c	1	87	115	183	104	79	77	71	88	101	191	172	134	111	74	43	70	83
YBR200w	1	259	296	178	154	160	189	259	427	370	335	306	224	202	137	216	238	317
YJL194w	1	78	246	121	88	115	149	130	108	231	265	138	162	130	151	107	123	215
YLR274w	1	209	262	231	140	148	165	184	271	416	465	351	243	198	162	179	252	324
YBR202w	1	114	273	179	125	115	145	289	491	478	530	369	218	187	176	295	483	411
YPR019w	1	159	143	224	157	166	187	191	313	328	415	297	133	155	149	209	205	322
YBL023c	1	60	135	176	91	67	99	143	238	260	171	161	124	113	72	113	140	163
YEL032w	1	180	257	184	169	153	146	216	337	276	303	208	164	164	143	134	222	232
YGR044c	1	255	106	70	87	116	176	118	85	177	441	445	353	230	204	116	151	287
YML109w	1	187	238	523	345	267	308	286	203	198	316	339	287	263	269	216	160	151
YJL157c	1	235	263	160	165	303	468	429	880	903	1794	1437	725	535	570	621	739	1194
YKL185w	1	380	256	201	256	320	327	245	366	795	1862	1180	640	544	388	327	517	959
YHR005c	1	151	210	197	99	75	90	143	203	229	333	334	193	138	116	194	168	243
YNR001c	1	677	198	177	241	353	255	305	370	566	840	738	587	540	483	484	478	587
YKL150w	1	510	342	261	430	576	519	500	424	781	1041	844	813	679	540	667	906	917
YLR395c	1	955	605	662	508	713	801	909	676	926	1592	1128	1092	946	862	1017	1498	1549
YOR065w	1	662	325	202	315	374	420	291	377	599	960	766	732	621	609	659	1055	806
YDL181w	1	225	196	202	139	191	320	285	169	292	788	413	392	282	329	321	418	626
YGR183c	1	627	414	396	535	548	502	648	676	732	1366	920	650	522	570	824	691	784
YLR258w	1	423	173	129	165	185	238	242	236	176	335	518	389	315	349	291	247	251
YML110c	1	974	980	843	547	314	435	609	609	843	1436	1255	977	833	795	870	933	970
YLR273c	1	160	128	112	80	72	75	64	79	145	203	174	93	79	33	71	65	110
YCR005c	1	439	250	150	172	147	143	232	500	584	506	517	655	629	436	424	281	307
YCL040w	1	813	302	167	229	297	208	184	283	350	659	823	682	480	539	512	484	854
YMR256c	1	769	606	531	622	822	757	796	768	994	1320	1182	824	865	1126	1065	1017	1362
YIL009w	1	166	238	141	93	88	109	83	85	204	326	336	282	218	174	132	169	284
YLL040c	1	270	303	98	123	176	227	209	184	263	388	313	275	282	189	220	259	227
YNR016c	1	1074	1517	1956	1619	1902	1202	1171	1011	932	1704	1464	1287	962	1139	1046	1238	1166
