X	Y	Class label
continuous	continuous	Class\ 1 Class\ 2 Class\ 3 Class\ 4 Class\ 5
		class
0,180	0,911	Class 1
0,202	0,912	Class 1
0,156	0,924	Class 1
0,148	0,948	Class 1
0,170	0,933	Class 1
0,212	0,953	Class 1
0,232	0,904	Class 1
0,210	0,943	Class 1
0,182	0,909	Class 1
0,155	0,899	Class 1
0,180	0,917	Class 1
0,191	0,875	Class 1
0,157	0,921	Class 1
0,168	0,930	Class 1
0,185	0,938	Class 1
0,169	0,919	Class 1
0,210	0,904	Class 1
0,135	0,924	Class 1
0,152	0,920	Class 1
0,151	0,884	Class 1
0,138	0,924	Class 1
0,178	0,891	Class 1
0,180	0,920	Class 1
0,200	0,902	Class 1
0,147	0,919	Class 1
0,177	0,912	Class 1
0,183	0,898	Class 1
0,173	0,895	Class 1
0,164	0,900	Class 1
0,128	0,879	Class 1
0,166	0,939	Class 1
0,179	0,917	Class 1
0,151	0,904	Class 1
0,204	0,904	Class 1
0,197	0,890	Class 1
0,174	0,898	Class 1
0,176	0,914	Class 1
0,177	0,910	Class 1
0,133	0,904	Class 1
0,185	0,894	Class 1
0,180	0,878	Class 1
0,175	0,900	Class 1
0,183	0,909	Class 1
0,189	0,920	Class 1
0,170	0,922	Class 1
0,129	0,898	Class 1
0,183	0,891	Class 1
0,141	0,895	Class 1
0,181	0,951	Class 1
0,206	0,885	Class 1
0,169	0,922	Class 1
0,190	0,913	Class 1
0,177	0,917	Class 1
0,207	0,913	Class 1
0,225	0,943	Class 1
0,173	0,926	Class 1
0,178	0,914	Class 1
0,204	0,925	Class 1
0,127	0,913	Class 1
0,206	0,870	Class 1
0,215	0,923	Class 1
0,216	0,891	Class 1
0,200	0,922	Class 1
0,179	0,889	Class 1
0,194	0,939	Class 1
0,179	0,919	Class 1
0,141	0,927	Class 1
0,178	0,921	Class 1
0,164	0,951	Class 1
0,176	0,918	Class 1
0,197	0,915	Class 1
0,178	0,922	Class 1
0,174	0,921	Class 1
0,180	0,917	Class 1
0,169	0,918	Class 1
0,254	0,894	Class 1
0,201	0,913	Class 1
0,223	0,945	Class 1
0,180	0,882	Class 1
0,201	0,911	Class 1
0,159	0,895	Class 1
0,183	0,874	Class 1
0,188	0,901	Class 1
0,177	0,876	Class 1
0,192	0,885	Class 1
0,172	0,913	Class 1
0,169	0,906	Class 1
0,163	0,903	Class 1
0,179	0,915	Class 1
0,172	0,881	Class 1
0,152	0,890	Class 1
0,198	0,954	Class 1
0,175	0,921	Class 1
0,208	0,861	Class 1
0,182	0,926	Class 1
0,149	0,913	Class 1
0,161	0,927	Class 1
0,185	0,919	Class 1
0,216	0,918	Class 1
0,177	0,910	Class 1
0,212	0,916	Class 1
0,132	0,906	Class 1
0,171	0,847	Class 1
0,199	0,904	Class 1
0,182	0,912	Class 1
0,189	0,907	Class 1
0,201	0,905	Class 1
0,165	0,916	Class 1
0,184	0,912	Class 1
0,176	0,934	Class 1
0,161	0,923	Class 1
0,175	0,919	Class 1
0,163	0,956	Class 1
0,162	0,922	Class 1
