% This data show cell's impedance profile responses measured on Roche XCELLigence instrument. Each
% attribute is a timepoint where distances between timepoints are the same. Data are normalized to
% first timepoint because the tendency of the curve after this points is most imporant for evaluation.
% Classification was done in cooperation with Academy of Sciences in Prague. 
% 
% @mastersthesis{barton11,
%	author = {Tomas Barton},
%	institution = {Faculty of Electrical Engineering},
%	location = {Prague, Czech Republic},
%	school = {Czech Technical University in Prague},
%	title = {Cluster analysis of cell profile responses},
%	url = {https://dip.felk.cvut.cz/browse/details.php?f=F3&d=K13136&y=2011&a=bartoto2&t=dipl},
%	year = {2011}
% }
%
%
@relation data_umg1

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute class {dead,anti-mitotic,modulator,slowly-dying,surviving}

@data
1,0.9716,1.087,1.12,1.0903,1.0292,0.9494,0.8606,0.7844,0.7131,0.6409,0.5774,0.5253,0.4858,0.4456,0.4095,0.3835,0.3551,0.3302,0.3087,0.2887,0.2705,0.252,0.2351,0.2168,0.2006,0.1866,0.1681,0.1528,0.1383,0.1277,0.1168,0.1064,0.095,0.0866,0.0798,0.0734,0.0688,0.0655,0.0616,0.0588,0.0569,0.0553,0.0538,0.0518,0.052,0.0513,0.0505,0.0509,0.0504,0.0499,0.0504,0.0508,0.0512,0.0506,0.0513,0.0511,0.0523,0.0518,0.0523,0.0517,0.052,0.0514,0.0521,0.0518,0.052,0.0516,0.0518,0.0522,0.0516,0.051,0.0508,0.0503,0.0501,0.0492,0.0492,0.0487,0.048,0.048,0.0474,0.0469,0.0464,0.0459,0.0455,0.0449,0.0442,0.0432,0.0428,0.0415,0.0417,0.0411,0.0403,0.0402,0.0397,0.0399,0.0392,0.0382,0.0377,0.0381,0.0375,0.0355,0.0343,0.0332,0.032,0.0296,0.0287,0.0273,0.0251,0.0242,0.0226,0.0212,0.0202,0.0193,0.018,0.0169,0.0152,0.0139,0.0129,0.0117,0.0107,0.0098,0.0088,0.0081,0.0067,0.0057,0.0046,0.0044,0.0036,0.0024,0.0024,0.002,0.0007,0.0006,-0.0005,-0.0013,-0.0013,-0.0023,-0.0033,-0.0039,-0.0043,-0.0044,-0.0054,-0.0057,-0.0063,-0.0069,-0.0074,-0.0076,-0.0085,-0.0093,-0.0095,-0.0094,-0.0104,-0.0113,-0.0115,-0.0115,-0.012,-0.0129,-0.0131,-0.0145,-0.0144,-0.015,-0.0154,-0.0156,-0.0162,-0.0159,-0.0169,-0.0172,-0.0175,-0.0177,-0.0177,dead
1,0.9744,1.0705,1.08,1.0387,0.9752,0.8997,0.8223,0.7583,0.699,0.6373,0.5757,0.5238,0.4778,0.4292,0.3935,0.3662,0.3403,0.3171,0.3005,0.2821,0.2647,0.2459,0.2268,0.2106,0.1919,0.1755,0.1604,0.1454,0.1315,0.1183,0.1051,0.0935,0.0839,0.0762,0.0696,0.0645,0.0603,0.055,0.0515,0.0478,0.0446,0.0425,0.0412,0.0391,0.0378,0.0368,0.0371,0.0365,0.0364,0.0366,0.0366,0.0373,0.0381,0.0378,0.0389,0.0391,0.04,0.0403,0.0402,0.0406,0.0407,0.0405,0.0407,0.0404,0.0405,0.0401,0.0399,0.0398,0.0398,0.0399,0.0393,0.0387,0.0386,0.0386,0.0387,0.038,0.0373,0.0376,0.0373,0.0361,0.0364,0.0358,0.0351,0.0355,0.0343,0.0342,0.0338,0.0331,0.0323,0.0317,0.0311,0.0302,0.0302,0.0293,0.0286,0.0276,0.0278,0.026,0.0263,0.0242,0.0227,0.0215,0.0195,0.0178,0.0157,0.0147,0.0133,0.0109,0.01,0.0091,0.0082,0.0064,0.0053,0.0038,0.0028,0.0017,0.0003,-0.0006,-0.0019,-0.0028,-0.0043,-0.006,-0.0073,-0.0079,-0.0087,-0.0098,-0.0105,-0.0111,-0.0119,-0.0131,-0.0131,-0.0138,-0.0146,-0.0148,-0.0154,-0.0158,-0.0166,-0.017,-0.018,-0.0189,-0.0201,-0.0205,-0.021,-0.0214,-0.0222,-0.0226,-0.0231,-0.0231,-0.0231,-0.0245,-0.0237,-0.0248,-0.0254,-0.0262,-0.0262,-0.0269,-0.0277,-0.0275,-0.028,-0.0282,-0.0289,-0.0292,-0.0294,-0.0293,-0.0297,-0.0294,-0.0305,-0.0308,-0.0299,dead
1,0.9936,1.0614,1.0396,0.9814,0.9085,0.8296,0.7533,0.6844,0.6248,0.5689,0.5187,0.471,0.4223,0.383,0.3578,0.3321,0.3094,0.2903,0.2707,0.2536,0.2372,0.2206,0.2053,0.1902,0.1759,0.163,0.1479,0.1363,0.1239,0.1117,0.0988,0.0894,0.0823,0.0752,0.0688,0.0644,0.0598,0.0557,0.053,0.051,0.0488,0.0479,0.0471,0.0446,0.0446,0.0435,0.0428,0.0432,0.043,0.0436,0.043,0.0435,0.0437,0.0437,0.0445,0.0454,0.0448,0.0458,0.0462,0.0466,0.0467,0.0471,0.0476,0.0472,0.0469,0.0466,0.0476,0.0472,0.047,0.0461,0.0462,0.0465,0.046,0.0456,0.045,0.0451,0.0447,0.0447,0.0439,0.0439,0.0432,0.0431,0.042,0.0411,0.0411,0.0409,0.0404,0.0398,0.0398,0.0394,0.0385,0.038,0.0372,0.0368,0.0363,0.0358,0.0352,0.0345,0.0333,0.0314,0.0295,0.0276,0.0265,0.0253,0.0234,0.0215,0.0207,0.0197,0.0174,0.0162,0.0147,0.013,0.0112,0.0098,0.0082,0.0074,0.006,0.0048,0.0036,0.0026,0.0019,0.0016,0,-0.0007,-0.0011,-0.002,-0.0034,-0.0038,-0.0051,-0.0058,-0.0074,-0.0076,-0.0088,-0.0094,-0.0099,-0.0112,-0.0121,-0.0129,-0.0145,-0.0149,-0.0158,-0.0169,-0.0172,-0.0183,-0.0191,-0.0194,-0.0199,-0.021,-0.021,-0.0215,-0.0223,-0.0227,-0.0237,-0.0239,-0.0244,-0.025,-0.0252,-0.0265,-0.0261,-0.0272,-0.0276,-0.0283,-0.0281,-0.0288,-0.0285,-0.0295,-0.0309,-0.0306,-0.0312,dead
1,0.9211,0.8569,0.855,0.8255,0.7721,0.7035,0.6176,0.5412,0.4722,0.4213,0.3804,0.3495,0.3274,0.3064,0.283,0.2597,0.2411,0.2218,0.2043,0.1874,0.1703,0.152,0.1343,0.1179,0.1031,0.0903,0.0795,0.0676,0.0568,0.0476,0.0396,0.0327,0.0258,0.0202,0.015,0.0104,0.0064,0.0038,0.0001,-0.0011,-0.0029,-0.0046,-0.0049,-0.006,-0.0067,-0.007,-0.0076,-0.0071,-0.0078,-0.0074,-0.0074,-0.0073,-0.0066,-0.0069,-0.0062,-0.0053,-0.0049,-0.0049,-0.0043,-0.0037,-0.0043,-0.0037,-0.0034,-0.0032,-0.0023,-0.0019,-0.0018,-0.0017,-0.002,-0.0027,-0.0033,-0.0033,-0.0031,-0.0033,-0.0035,-0.0033,-0.0045,-0.0039,-0.0046,-0.0052,-0.006,-0.006,-0.0064,-0.0062,-0.0076,-0.0071,-0.008,-0.0082,-0.0092,-0.0107,-0.0096,-0.0108,-0.0105,-0.0116,-0.0125,-0.0122,-0.0131,-0.0138,-0.0147,-0.0165,-0.0175,-0.0199,-0.0211,-0.0223,-0.0242,-0.0256,-0.0277,-0.0294,-0.0307,-0.0325,-0.0353,-0.0363,-0.0373,-0.0389,-0.0408,-0.0419,-0.0438,-0.0449,-0.0464,-0.0471,-0.0483,-0.0499,-0.0508,-0.0533,-0.053,-0.0539,-0.0551,-0.0552,-0.057,-0.0582,-0.0588,-0.06,-0.0604,-0.0611,-0.0623,-0.0626,-0.0638,-0.0648,-0.0655,-0.0665,-0.0674,-0.0681,-0.0686,-0.0689,-0.0694,-0.0699,-0.0707,-0.0712,-0.0715,-0.0713,-0.071,-0.0717,-0.0728,-0.0732,-0.0737,-0.0734,-0.0741,-0.0736,-0.0748,-0.0753,-0.0754,-0.0765,-0.0764,-0.0762,-0.0763,-0.0769,-0.0775,-0.0777,-0.0775,dead
1,0.9326,0.8374,0.8142,0.7871,0.7398,0.676,0.5899,0.5169,0.4448,0.386,0.3451,0.3146,0.2876,0.27,0.2483,0.233,0.216,0.201,0.1866,0.1704,0.1578,0.1425,0.1236,0.1098,0.0963,0.084,0.0737,0.0639,0.055,0.047,0.0394,0.0334,0.0275,0.0225,0.018,0.0142,0.0107,0.0078,0.0053,0.0039,0.0029,0.0028,0.0012,0.0005,0.0004,0,0.0009,0.0015,0.0019,0.0022,0.0023,0.0026,0.0032,0.0041,0.0044,0.0048,0.0048,0.0052,0.0058,0.0067,0.0056,0.0063,0.0066,0.0059,0.0065,0.0068,0.006,0.0063,0.0067,0.0058,0.0062,0.0044,0.0047,0.0043,0.004,0.0032,0.0025,0.0023,0.002,0.0019,0.0014,0.0006,0.0004,-0.0003,-0.0012,-0.0013,-0.0025,-0.003,-0.0027,-0.0031,-0.0041,-0.0049,-0.0054,-0.0063,-0.0067,-0.007,-0.0075,-0.0082,-0.0094,-0.0109,-0.0127,-0.0144,-0.0173,-0.018,-0.0193,-0.0211,-0.0232,-0.0251,-0.0262,-0.0282,-0.0289,-0.031,-0.0339,-0.0342,-0.0359,-0.0374,-0.0392,-0.04,-0.0409,-0.0427,-0.0441,-0.0452,-0.0462,-0.0483,-0.0494,-0.0505,-0.0521,-0.0525,-0.0538,-0.0541,-0.0553,-0.0567,-0.0572,-0.0579,-0.0589,-0.0598,-0.0597,-0.0608,-0.0606,-0.0617,-0.0623,-0.0631,-0.0635,-0.0639,-0.0642,-0.0649,-0.0657,-0.0663,-0.0669,-0.0674,-0.0679,-0.0689,-0.0691,-0.0693,-0.0691,-0.0698,-0.0712,-0.0706,-0.0706,-0.0707,-0.0715,-0.0711,-0.0718,-0.0725,-0.0725,-0.0726,-0.0737,-0.0737,-0.074,dead
1,0.8966,0.8437,0.8474,0.8155,0.7633,0.6994,0.6298,0.5723,0.5224,0.4796,0.4488,0.4152,0.3861,0.3618,0.3393,0.313,0.284,0.2621,0.244,0.2242,0.2084,0.1929,0.1766,0.1587,0.1439,0.1296,0.1171,0.104,0.0923,0.0823,0.0746,0.0649,0.0589,0.0518,0.0462,0.0392,0.0345,0.03,0.0265,0.0244,0.0218,0.02,0.0179,0.0173,0.0162,0.0153,0.0142,0.0144,0.0147,0.0142,0.0143,0.0142,0.0137,0.0145,0.0155,0.0152,0.0152,0.0161,0.0166,0.0167,0.017,0.0164,0.018,0.0173,0.0184,0.0178,0.018,0.0183,0.0185,0.0187,0.0179,0.0185,0.0178,0.0174,0.0176,0.0169,0.0174,0.0173,0.0169,0.0158,0.0158,0.0159,0.0145,0.014,0.0138,0.0124,0.0113,0.012,0.0108,0.0105,0.0101,0.0098,0.0087,0.0078,0.0081,0.0062,0.0063,0.0052,0.0037,0.0034,0.0005,-0.0017,-0.0033,-0.0047,-0.006,-0.0081,-0.0093,-0.0107,-0.0114,-0.0127,-0.0145,-0.0168,-0.0179,-0.0195,-0.0207,-0.023,-0.0235,-0.0245,-0.0259,-0.0282,-0.0288,-0.0306,-0.0302,-0.033,-0.0331,-0.0352,-0.0355,-0.0373,-0.0386,-0.0391,-0.0397,-0.0414,-0.0429,-0.0438,-0.0447,-0.0452,-0.0459,-0.0471,-0.048,-0.0487,-0.0496,-0.0506,-0.0512,-0.0515,-0.053,-0.0529,-0.0539,-0.0544,-0.0553,-0.0562,-0.056,-0.0579,-0.0577,-0.0579,-0.0592,-0.0591,-0.0601,-0.0597,-0.0595,-0.0616,-0.0614,-0.0615,-0.0621,-0.063,-0.0632,-0.0639,-0.064,-0.0645,-0.0645,dead
1,0.9683,0.8738,0.7939,0.7313,0.6759,0.6235,0.5728,0.5292,0.4942,0.4655,0.4479,0.4389,0.4321,0.4291,0.4237,0.4178,0.4139,0.4103,0.4043,0.3966,0.3893,0.3791,0.3688,0.3563,0.3462,0.3328,0.3232,0.3069,0.2944,0.2801,0.2684,0.2554,0.2422,0.2304,0.2183,0.2058,0.1928,0.179,0.168,0.1587,0.1483,0.1383,0.1304,0.122,0.1133,0.1053,0.097,0.0897,0.0843,0.0788,0.0736,0.0694,0.0651,0.0626,0.0576,0.0549,0.0524,0.0494,0.047,0.0453,0.0427,0.0409,0.0401,0.0384,0.0369,0.0367,0.0361,0.0353,0.0343,0.0334,0.033,0.0323,0.0321,0.0332,0.032,0.0317,0.0314,0.0315,0.0309,0.0312,0.0312,0.0302,0.0302,0.0295,0.0303,0.0293,0.0293,0.03,0.0287,0.0296,0.0276,0.0272,0.0269,0.0263,0.0258,0.0263,0.0248,0.0245,0.0234,0.0212,0.0188,0.0188,0.0166,0.014,0.0135,0.01,0.0076,0.0052,0.0036,0.0016,-0.0004,-0.0029,-0.0045,-0.0058,-0.0081,-0.0091,-0.0108,-0.011,-0.0122,-0.0144,-0.0162,-0.0183,-0.0188,-0.0203,-0.0203,-0.0224,-0.0238,-0.0248,-0.0254,-0.027,-0.0274,-0.029,-0.0297,-0.0319,-0.0314,-0.0337,-0.0344,-0.0341,-0.0349,-0.0363,-0.0367,-0.0369,-0.0377,-0.0389,-0.0395,-0.0411,-0.0413,-0.0424,-0.0431,-0.0426,-0.0439,-0.0436,-0.0448,-0.0441,-0.0458,-0.0457,-0.0463,-0.0474,-0.0462,-0.0469,-0.0467,-0.0479,-0.0476,-0.0474,-0.0487,-0.0493,-0.049,-0.0494,-0.0505,dead
1,0.9591,0.8566,0.7731,0.7132,0.6616,0.6138,0.5675,0.5286,0.4973,0.4733,0.4549,0.4463,0.4402,0.4376,0.4344,0.4298,0.4225,0.4178,0.4084,0.4014,0.3931,0.383,0.374,0.3626,0.3496,0.3374,0.3256,0.3166,0.3074,0.2957,0.2839,0.2713,0.2625,0.2548,0.2436,0.2344,0.2248,0.2133,0.2049,0.1947,0.1842,0.177,0.1715,0.1639,0.1556,0.1475,0.1406,0.1331,0.1281,0.1216,0.1142,0.107,0.1013,0.0966,0.0905,0.0859,0.0807,0.0765,0.0719,0.0676,0.0653,0.0607,0.0573,0.0563,0.0529,0.0507,0.0483,0.0463,0.0445,0.0435,0.0419,0.0402,0.0381,0.0374,0.0352,0.0334,0.0331,0.0323,0.0321,0.0314,0.0307,0.0291,0.0291,0.0285,0.0286,0.0274,0.027,0.0271,0.0266,0.0268,0.0252,0.0245,0.0242,0.0237,0.0251,0.0234,0.0233,0.0223,0.0222,0.0207,0.0194,0.0188,0.0162,0.0151,0.013,0.011,0.0094,0.0062,0.0048,0.0029,0.002,-0.0018,-0.0022,-0.0032,-0.0056,-0.0064,-0.008,-0.01,-0.0119,-0.0139,-0.0156,-0.0162,-0.0172,-0.0186,-0.021,-0.0205,-0.0228,-0.0242,-0.025,-0.0267,-0.0274,-0.0286,-0.0298,-0.0312,-0.0325,-0.0328,-0.0345,-0.0363,-0.0379,-0.039,-0.0397,-0.0418,-0.0419,-0.0426,-0.0437,-0.0448,-0.0469,-0.0477,-0.0473,-0.0489,-0.0485,-0.0495,-0.051,-0.0518,-0.0518,-0.0528,-0.0522,-0.0521,-0.0535,-0.054,-0.054,-0.055,-0.054,-0.0562,-0.0567,-0.0577,-0.0571,-0.0561,-0.0578,dead
1,0.923,0.8354,0.7933,0.7541,0.7062,0.6534,0.6045,0.5665,0.5294,0.4982,0.4769,0.463,0.4556,0.4469,0.4396,0.4302,0.4193,0.4108,0.3986,0.3888,0.3706,0.3519,0.3319,0.318,0.3024,0.2879,0.2764,0.2643,0.251,0.2372,0.2266,0.2126,0.1977,0.1841,0.1711,0.1588,0.1497,0.1424,0.1346,0.127,0.1194,0.1115,0.1038,0.0959,0.0906,0.0833,0.0803,0.0746,0.07,0.0658,0.063,0.0611,0.0571,0.0551,0.0517,0.0484,0.0468,0.0449,0.0441,0.043,0.0411,0.0401,0.0379,0.0377,0.0379,0.0353,0.0362,0.0361,0.0351,0.0354,0.0348,0.0345,0.0346,0.0334,0.0333,0.0331,0.0328,0.0319,0.0303,0.0299,0.0316,0.0298,0.0302,0.0291,0.0284,0.0287,0.0284,0.0285,0.0272,0.0269,0.0274,0.0264,0.0263,0.0265,0.0244,0.0248,0.0236,0.0236,0.0228,0.0211,0.0204,0.0178,0.0171,0.0156,0.0131,0.0119,0.0099,0.0088,0.0069,0.0045,0.0043,0.0022,0.0018,-0.0006,-0.0007,-0.0032,-0.0047,-0.0066,-0.0065,-0.0085,-0.0093,-0.0105,-0.0123,-0.0128,-0.0152,-0.0163,-0.0159,-0.0193,-0.0188,-0.0222,-0.0229,-0.0232,-0.0239,-0.0257,-0.0263,-0.0273,-0.0288,-0.029,-0.0305,-0.0318,-0.0325,-0.0335,-0.0348,-0.0351,-0.0368,-0.0371,-0.0376,-0.0387,-0.0393,-0.0403,-0.0402,-0.0419,-0.0424,-0.043,-0.0433,-0.0437,-0.0436,-0.0444,-0.0455,-0.0449,-0.0461,-0.0461,-0.0463,-0.0475,-0.0467,-0.0483,-0.0488,-0.0486,-0.0489,dead
1,1.0326,0.8924,0.7797,0.7028,0.6479,0.5978,0.5455,0.4845,0.4297,0.3801,0.3393,0.3146,0.2958,0.2834,0.2734,0.2642,0.2484,0.2318,0.2155,0.197,0.1786,0.1618,0.1474,0.1326,0.1195,0.1063,0.0942,0.0852,0.0762,0.0688,0.0617,0.0551,0.0496,0.0459,0.0407,0.0378,0.0354,0.0342,0.0311,0.0292,0.0278,0.0271,0.0266,0.0257,0.0257,0.0255,0.0246,0.025,0.0252,0.0243,0.0242,0.0249,0.0248,0.0254,0.0262,0.025,0.0262,0.0266,0.0267,0.0277,0.0284,0.0284,0.0275,0.0287,0.0277,0.0274,0.0275,0.027,0.0266,0.0269,0.0265,0.0259,0.0257,0.0252,0.0245,0.0238,0.0229,0.0235,0.0224,0.0228,0.0216,0.0214,0.0206,0.0194,0.0185,0.0184,0.0179,0.0167,0.018,0.017,0.0152,0.0142,0.013,0.0131,0.0127,0.0109,0.0095,0.0107,0.0088,0.0071,0.0055,0.0041,0.0019,0.0008,-0.0034,-0.0032,-0.0064,-0.0079,-0.009,-0.0116,-0.0134,-0.0156,-0.0171,-0.0182,-0.0205,-0.0216,-0.0233,-0.0243,-0.0256,-0.0271,-0.0275,-0.0308,-0.0318,-0.0333,-0.0339,-0.0347,-0.0364,-0.037,-0.0376,-0.0387,-0.0393,-0.0405,-0.0413,-0.0425,-0.0436,-0.0441,-0.044,-0.0455,-0.0459,-0.0477,-0.0475,-0.0487,-0.0492,-0.0498,-0.0507,-0.0512,-0.052,-0.0523,-0.0513,-0.0521,-0.0531,-0.0534,-0.0538,-0.0542,-0.0552,-0.0556,-0.0561,-0.0547,-0.0553,-0.0573,-0.057,-0.0564,-0.0566,-0.0566,-0.057,-0.0578,-0.0582,-0.0581,-0.0582,dead
